client_id,revenue,segment
12346,77183.6,HighValue
12347,4310.0,HighValue
12348,1797.24,HighValue
12349,1757.55,HighValue
12350,334.4,LowValue
12352,2506.04,HighValue
12353,89.0,LowValue
12354,1079.4,LowValue
12355,459.4,LowValue
12356,2811.43,HighValue
12357,6207.67,HighValue
12358,1168.06,LowValue
12359,6372.58,HighValue
12360,2662.06,HighValue
12361,189.9,LowValue
12362,5226.23,HighValue
12363,552.0,LowValue
12364,1313.1,LowValue
12365,641.38,LowValue
12367,168.9,LowValue
12370,3545.69,HighValue
12371,1887.96,HighValue
12372,1298.04,LowValue
12373,364.6,LowValue
12374,742.9300000000001,LowValue
12375,457.5,LowValue
12377,1628.12,LowValue
12378,4008.62,HighValue
12379,852.24,LowValue
12380,2724.81,HighValue
12381,1845.31,HighValue
12383,1850.56,HighValue
12384,585.27,LowValue
12386,401.9,LowValue
12388,2780.66,HighValue
12390,549.84,LowValue
12391,460.89,LowValue
12393,1582.6000000000001,LowValue
12394,1272.48,LowValue
12395,3018.63,HighValue
12397,2409.9,HighValue
12398,1635.6599999999999,LowValue
12399,1108.65,LowValue
12401,84.3,LowValue
12402,225.6,LowValue
12403,427.7,LowValue
12405,1710.39,HighValue
12406,3415.3,HighValue
12407,1708.1200000000001,HighValue
12408,2888.55,HighValue
12409,11072.67,HighValue
12410,693.3299999999999,LowValue
12412,1226.88,LowValue
12413,758.1,LowValue
12414,562.41,LowValue
12415,124914.53,HighValue
12417,3649.1,HighValue
12418,668.58,LowValue
12420,600.39,LowValue
12421,807.04,LowValue
12422,803.5600000000001,LowValue
12423,1859.31,HighValue
12424,1760.96,HighValue
12425,777.2,LowValue
12426,582.73,LowValue
12427,825.8,LowValue
12428,7956.46,HighValue
12429,3750.4,HighValue
12430,256.4,LowValue
12431,6487.45,HighValue
12432,5059.32,HighValue
12433,13375.87,HighValue
12434,806.14,LowValue
12435,7829.89,HighValue
12436,509.01,LowValue
12437,4951.41,HighValue
12438,2906.85,HighValue
12441,173.55,LowValue
12442,172.06,LowValue
12444,5005.46,HighValue
12445,133.4,LowValue
12446,1002.3100000000001,LowValue
12447,476.49,LowValue
12448,449.45,LowValue
12449,4067.29,HighValue
12450,197.88,LowValue
12451,9035.52,HighValue
12452,430.57,LowValue
12453,707.09,LowValue
12454,3528.34,HighValue
12455,2466.86,HighValue
12456,3181.04,HighValue
12457,2363.23,HighValue
12458,947.4,LowValue
12461,826.88,LowValue
12462,1189.59,LowValue
12463,1344.78,LowValue
12464,1212.05,LowValue
12465,742.1899999999999,LowValue
12468,729.5400000000001,LowValue
12471,19824.05,HighValue
12472,6572.11,HighValue
12473,3938.5499999999997,HighValue
12474,7375.79,HighValue
12475,723.38,LowValue
12476,6816.42,HighValue
12477,13219.74,HighValue
12478,680.99,LowValue
12479,527.2,LowValue
12480,3281.63,HighValue
12481,5596.32,HighValue
12483,2484.98,HighValue
12484,4541.72,HighValue
12488,1298.66,LowValue
12489,334.93,LowValue
12490,5417.93,HighValue
12491,460.40000000000003,LowValue
12492,263.21000000000004,LowValue
12493,433.74,LowValue
12494,1246.1000000000001,LowValue
12497,1043.1,LowValue
12498,403.70000000000005,LowValue
12500,4257.82,HighValue
12501,2169.39,HighValue
12502,3723.87,HighValue
12504,482.04999999999995,LowValue
12506,73.5,LowValue
12507,1304.81,LowValue
12508,398.27,LowValue
12509,176.5,LowValue
12510,982.5699999999999,LowValue
12512,138.03,LowValue
12513,612.29,LowValue
12514,1017.68,LowValue
12515,383.7,LowValue
12516,1312.06,LowValue
12517,2502.84,HighValue
12518,2056.89,HighValue
12519,340.84,LowValue
12520,2634.26,HighValue
12521,599.68,LowValue
12522,192.72,LowValue
12523,1789.77,HighValue
12524,4485.72,HighValue
12526,1316.66,LowValue
12527,348.71000000000004,LowValue
12528,1933.48,HighValue
12530,1662.28,HighValue
12531,125.22,LowValue
12532,349.83000000000004,LowValue
12534,1089.18,LowValue
12535,716.35,LowValue
12536,12601.830000000002,HighValue
12538,363.95,LowValue
12539,5568.35,HighValue
12540,13400.24,HighValue
12541,981.18,LowValue
12544,372.7,LowValue
12545,1000.39,LowValue
12546,1161.5,LowValue
12547,207.79999999999998,LowValue
12548,95.19999999999999,LowValue
12550,964.83,LowValue
12551,168.0,LowValue
12552,437.82,LowValue
12553,3692.28,HighValue
12556,603.71,LowValue
12557,11990.960000000001,HighValue
12558,269.96,LowValue
12559,561.71,LowValue
12560,2134.01,HighValue
12561,238.85,LowValue
12562,3781.7400000000002,HighValue
12564,456.9,LowValue
12565,145.92,LowValue
12566,351.65,LowValue
12567,9401.28,HighValue
12569,4124.69,HighValue
12571,519.61,LowValue
12572,1020.42,LowValue
12573,160.54000000000002,LowValue
12574,218.45,LowValue
12576,1315.83,LowValue
12577,657.8,LowValue
12578,2794.51,HighValue
12579,440.42,LowValue
12580,415.7,LowValue
12581,197.71,LowValue
12582,511.36,LowValue
12583,7281.38,HighValue
12584,2338.15,HighValue
12585,2040.1,HighValue
12586,196.94000000000003,LowValue
12587,144.0,LowValue
12588,214.89999999999998,LowValue
12589,646.68,LowValue
12590,9864.26,HighValue
12591,452.84999999999997,LowValue
12592,437.6,LowValue
12593,418.09999999999997,LowValue
12594,3338.2200000000003,HighValue
12596,618.27,LowValue
12597,3811.22,HighValue
12598,3023.08,HighValue
12599,1032.58,LowValue
12600,2599.04,HighValue
12601,577.0600000000001,LowValue
12602,153.12,LowValue
12603,739.1999999999999,LowValue
12604,254.18,LowValue
12607,1579.51,LowValue
12609,1126.85,LowValue
12610,2099.54,HighValue
12611,1193.32,LowValue
12612,704.0400000000001,LowValue
12613,3344.38,HighValue
12614,315.6,LowValue
12615,2291.19,HighValue
12616,713.3,LowValue
12617,355.53,LowValue
12618,177.31,LowValue
12619,3641.24,HighValue
12620,1339.41,LowValue
12621,13689.67,HighValue
12622,180.1,LowValue
12623,305.1,LowValue
12624,641.13,LowValue
12625,2683.82,HighValue
12626,6620.48,HighValue
12627,4478.53,HighValue
12628,786.46,LowValue
12630,1270.88,LowValue
12631,640.5,LowValue
12633,2163.98,HighValue
12635,1689.18,HighValue
12637,6021.9,HighValue
12638,671.69,LowValue
12639,486.1,LowValue
12640,1174.58,LowValue
12641,185.9,LowValue
12642,1013.26,LowValue
12643,3344.64,HighValue
12644,477.91,LowValue
12645,1775.18,HighValue
12646,1346.97,LowValue
12647,3722.82,HighValue
12648,318.05,LowValue
12649,623.51,LowValue
12650,314.44,LowValue
12651,114.0,LowValue
12652,919.98,LowValue
12653,2209.85,HighValue
12654,601.98,LowValue
12656,4051.17,HighValue
12657,1643.18,LowValue
12658,686.05,LowValue
12659,91.68,LowValue
12660,245.1,LowValue
12662,3849.78,HighValue
12664,4881.88,HighValue
12665,63.0,LowValue
12667,620.13,LowValue
12668,3807.15,HighValue
12669,2744.0299999999997,HighValue
12670,2996.05,HighValue
12672,225.89999999999998,LowValue
12673,610.52,LowValue
