client_id,invoice_no,date,items,invoice_value
12347,542237,2011-01-26 14:30:00,REGENCY CAKESTAND 3 TIER,38.25
12347,549222,2011-04-07 10:43:00,REGENCY CAKESTAND 3 TIER,38.25
12347,562032,2011-08-02 08:48:00,REGENCY CAKESTAND 3 TIER,38.25
12347,573511,2011-10-31 12:25:00,REGENCY CAKESTAND 3 TIER,76.5
12349,577609,2011-11-21 09:51:00,JAM MAKING SET WITH JARS|REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,53.1
12352,544156,2011-02-16 12:33:00,REGENCY CAKESTAND 3 TIER,38.25
12352,545323,2011-03-01 14:57:00,BAKING SET 9 PIECE RETROSPOT,14.850000000000001
12352,567505,2011-09-20 14:34:00,REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN|SPOTTY BUNTING,55.2
12352,568699,2011-09-28 14:58:00,SET OF 3 CAKE TINS PANTRY DESIGN,14.850000000000001
12354,550911,2011-04-21 13:11:00,BAKING SET 9 PIECE RETROSPOT|LUNCH BAG RED RETROSPOT,31.35
12355,552449,2011-05-09 13:49:00,REGENCY CAKESTAND 3 TIER,25.5
12356,541430,2011-01-18 09:50:00,BAKING SET 9 PIECE RETROSPOT|REGENCY CAKESTAND 3 TIER,277.2
12356,549435,2011-04-08 12:33:00,PACK OF 72 RETROSPOT CAKE CASES|REGENCY CAKESTAND 3 TIER,64.2
12356,576895,2011-11-17 08:40:00,REGENCY CAKESTAND 3 TIER,25.5
12357,574740,2011-11-06 16:07:00,REGENCY CAKESTAND 3 TIER,102.0
12359,540946,2011-01-12 12:43:00,REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,91.35
12359,543370,2011-02-07 14:51:00,JAM MAKING SET PRINTED|JAM MAKING SET WITH JARS|PARTY BUNTING,66.15
12359,555477,2011-06-03 12:26:00,REGENCY CAKESTAND 3 TIER|SPOTTY BUNTING,116.85
12359,571034,2011-10-13 12:47:00,JUMBO BAG RED RETROSPOT|REGENCY CAKESTAND 3 TIER|SET OF 3 CAKE TINS PANTRY DESIGN,201.4
12360,571705,2011-10-18 15:22:00,BAKING SET 9 PIECE RETROSPOT|RETROSPOT TEA SET CERAMIC 11 PC,44.550000000000004
12361,545017,2011-02-25 13:51:00,LUNCH BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN,33.0
12362,544203,2011-02-17 10:30:00,LUNCH BAG CARS BLUE|LUNCH BAG RED RETROSPOT,33.0
12362,551346,2011-04-28 09:12:00,LUNCH BAG SPACEBOY DESIGN|PARTY BUNTING,52.8
12362,559295,2011-07-07 12:32:00,REGENCY CAKESTAND 3 TIER|RETROSPOT TEA SET CERAMIC 11 PC,27.6
12362,563037,2011-08-11 15:02:00,LUNCH BAG CARS BLUE,16.5
12362,568651,2011-09-28 12:04:00,BAKING SET 9 PIECE RETROSPOT|JUMBO BAG RED RETROSPOT,50.5
12362,570667,2011-10-11 14:33:00,LUNCH BAG RED RETROSPOT|LUNCH BAG SPACEBOY DESIGN,33.0
